company,Model name,year,fuel,seats,engine,km_driven,mileage,max_power,torque,Insurance 
Maruti,Maruti Ertiga VDI,2013,Diesel,7,1461 CC,75000,21.43 kmpl,83.8 bhp,200Nm@ 1750rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Wagon R CNG LXI,2013,CNG,5,1462 CC,22000,20.92 kmpl,103.25 bhp,138Nm@ 4400rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Zen LXi - BS III,2005,Petrol,5,2967 CC,76131,19.7 kmpl,241.4 bhp,580Nm@ 1400-3250rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti SX4 Zxi with Leather BSIII,2008,Petrol,5,1197 CC,30000,25.44 kmpl,81.83 bhp,114.7Nm@ 4000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Honda,Honda Brio Exclusive Edition,2014,Petrol,5,2967 CC,65000,,241.4 bhp,550Nm@ 1750-2750rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Swift VDI,2013,Diesel,5,2523 CC,60000,,75 bhp,200Nm@ 1400-2200rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai Grand i10 AT Asta,2015,Petrol,5,1199 CC,80000,,73.9 bhp,180Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Indica V2 eLX,2012,Diesel,5,2997 CC,80000,20.45 kmpl,218 bhp,196Nm@ 5000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai EON Era Plus,2017,Petrol,5,2967 CC,70000,18.9 kmpl,241.4 bhp,550Nm@ 1750-2750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i20 1.2 Sportz,2012,Petrol,5,1248 CC,51777,23.59 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai i20 1.2 Sportz,2011,Petrol,5,2179 CC,64788,26.0 kmpl,115 bhp,400 Nm /2000 rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti 800 Std,2006,Petrol,4,1199 CC,20000,15.1 kmpl,88.76 bhp,110Nm@ 4800rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Ertiga VXI Petrol,2018,Petrol,7,999 CC,19000,26.0 kmpl,75 bhp,95Nm@ 3000-4300rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Celerio X ZXI,2020,Petrol,5,796 CC,46951,16.0 kmpl,53 bhp,71Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Wagon R LXI BS IV,2016,Petrol,5,1198 CC,19000,13.58 kmpl,67 bhp,104Nm@ 4000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Omni 5 Str STD,1998,Petrol,5,1498 CC,50000,15.5 kmpl,98.59 bhp,205Nm@ 1750-3250rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Mahindra,Mahindra Scorpio S2 7 Seater,2017,Diesel,7,1582 CC,60000,13.49 kmpl,126.2 bhp,259.9Nm@ 1900-2750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Santro Xing XG,2004,Petrol,,1461 CC,100000,18.15 kmpl,108.45 bhp,248Nm@ 2250rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Alto LX,2007,Petrol,5,993 CC,10000,17.0 kmpl,60 bhp,78Nm@ 4500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai Accent GLE,2005,Petrol,5,1248 CC,50000,22.32 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Indigo CS eLX BS IV,2012,Diesel,5,998 CC,74537,18.6 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Tata,Tata Indigo CS eLS BS IV,2012,Diesel,5,1586 CC,90000,21.12 kmpl,103.3 bhp,145Nm@ 4100rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Indigo eCS LX BSIV,2012,Diesel,5,,80000,20.92 kmpl,,,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Swift Dzire VXi,2009,Petrol,5,995 CC,70000,24.7 kmpl,62 bhp,90.3Nm@ 4200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Creta 1.4 E Plus,2018,Diesel,5,1061 CC,80000,25.17 kmpl,67 bhp,84Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Indigo eCS LX BSIV,2011,Diesel,5,1120 CC,35000,16.5 kmpl,71 bhp,180.4Nm@ 1750-2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Zen LX,1999,Petrol,5,1199 CC,23500,22.7 kmpl,76.8 bhp,106.5Nm@ 4400rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Honda,Honda Amaze S i-Dtech,2013,Diesel,5,1498 CC,82000,23.95 kmpl,97.9 bhp,200Nm@ 1750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i10 Magna,2008,Petrol,5,2494 CC,100000,26.6 km/kg,100.6 bhp,200Nm@ 1200-3600rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Swift Vdi BSIII,2008,Diesel,5,1197 CC,15000,22.0 kmpl,81.83 bhp,114.7Nm@ 4000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i20 Active 1.2 S,2015,Petrol,5,1248 CC,30000,28.4 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i20 1.2 Magna,2011,Petrol,5,1197 CC,30000,23.95 kmpl,82 bhp,114Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai i20 Asta 1.2,2013,Petrol,5,998 CC,11000,25.44 kmpl,67 bhp,90Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Elantra SX,2013,Petrol,5,1198 CC,140000,17.0 kmpl,67.05 bhp,104Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai Grand i10 Sportz,2016,Petrol,5,1248 CC,110000,26.2 km/kg,88.7 bhp,200Nm@ 1750-3000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Alto LXi,2011,Petrol,5,998 CC,48000,25.2 kmpl,67.1 bhp,90Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Alto LX,2010,Petrol,5,1248 CC,70000,15.1 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Tata,Tata Tiago 1.2 Revotron XZ,2019,Petrol,5,1197 CC,70000,16.5 kmpl,81.80 bhp,113Nm@ 4200rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Alto 800 LXI,2015,Petrol,5,1997 CC,58000,19.1 kmpl,120 bhp,280Nm@ 1800-2800rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift Dzire VDI,2018,Diesel,5,1061 CC,40000,24.8 kmpl,57.5 bhp,"7.8@ 4,500(kgm@ rpm)","Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift Dzire ZXI,2015,Petrol,5,993 CC,90000,12.99 kmpl,60 bhp,78Nm@ 4500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift ZXI Plus,2018,Petrol,5,2498 CC,40000,12.8 kmpl,112 bhp,260 Nm at 1800-2200 rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift VDI BSIV,2011,Diesel,,2179 CC,110000,22.7 kmpl,120 bhp,290Nm@ 1800-2800rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Renault,Renault KWID RXT Optional,2016,Petrol,5,2179 CC,80000,26.2 km/kg,138.1 bhp,320Nm@ 1700-2700rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai i10 Era,2011,Petrol,5,1248 CC,60000,24.3 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Freestyle Titanium Diesel BSIV,2019,Diesel,5,2523 CC,50000,21.64 kmpl,62.1 bhp,195Nm@ 1400-2200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Renault,Renault KWID RXT,2015,Petrol,5,1199 CC,25000,12.9 kmpl,84 bhp,114Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai i20 Sportz 1.2,2013,Petrol,5,1248 CC,100000,12.8 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai Verna 1.4 CX,2013,Diesel,5,1248 CC,52000,16.55 kmpl,73.9 bhp,190Nm@ 2000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Wagon R PRIMEA,2006,Petrol,5,1086 CC,80000,24.0 kmpl,68.05 bhp,99.04Nm@ 4500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Mahindra,Mahindra Xylo D4 BSIV,2012,Diesel,8,1498 CC,85000,18.0 kmpl,98.6 bhp,200Nm@ 1750rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai Santro Xing (Non-AC),2010,Petrol,5,1248 CC,83000,20.63 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Mahindra,Mahindra Bolero 2011-2019 SLX,2012,Diesel,7,796 CC,50000,18.2 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift VXI,2019,Petrol,5,1061 CC,120000,18.9 kmpl,67 bhp,84Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Ecosport 1.5 DV5 MT Trend,2016,Diesel,5,2523 CC,100000,22.1 kmpl,62.1 bhp,195Nm@ 1400-2200rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Ford,Ford EcoSport 1.5 TDCi Titanium BE BSIV,2018,Diesel,5,1248 CC,70000,20.14 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Figo Diesel Titanium,2012,Diesel,5,796 CC,19000,25.6 kmpl,46.3 bhp,62Nm@ 3000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Ford,Ford Figo 1.5D Trend MT,2017,Diesel,5,1497 CC,68600,20.3 kmpl,118 bhp,146Nm at 4800 rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift Dzire AMT VXI,2017,Petrol,5,1493 CC,60000,20.3 kmpl,70 bhp,195Nm@ 1400-2200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Figo Diesel EXI Option,2012,Diesel,5,2523 CC,65000,20.36 kmpl,62.1 bhp,195Nm@ 1400-2200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Wagon R LXI BS IV,2012,Petrol,5,1497 CC,40000,24.0 kmpl,116.3 bhp,146Nm@ 4800rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Freestyle Trend Diesel,2018,Diesel,5,,160000,22.9 kmpl,,,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Figo Aspire 1.5 TDCi Trend,2015,Diesel,5,998 CC,25000,20.54 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Renault,Renault Duster 85PS Diesel RxE Adventure,2015,Diesel,5,998 CC,29500,22.32 kmpl,67.1 bhp,90Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Ritz VXi,2013,Petrol,5,1591 CC,13887,18.9 kmpl,121.3 bhp,151Nm@ 4850rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Grand i10 CRDi Sportz,2014,Diesel,5,796 CC,50000,22.54 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Ritz LDi,2012,Diesel,5,799 CC,30000,24.8 kmpl,53.3 bhp,72Nm@ 4386rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Safari DICOR 2.2 EX 4x2,2017,Diesel,7,796 CC,100000,17.8 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai Verna CRDi SX,2008,Diesel,5,1399 CC,60000,11.88 km/kg,92.7 bhp,127Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Swift VDI BSIV,2014,Diesel,5,1396 CC,60000,22.32 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai Xcent 1.1 CRDi S,2014,Diesel,5,1405 CC,120000,18.0 kmpl,70 bhp,135.4Nm@ 2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Toyota,Toyota Etios GD,2012,Diesel,,1497 CC,13500,17.88 kmpl,121.36 bhp,150Nm@ 4500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Ertiga SHVS VDI,2018,Diesel,7,1248 CC,52000,23.59 kmpl,75 bhp,197Nm@ 1750rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Swift Dzire VDI,2013,Diesel,5,1197 CC,30000,26.2 km/kg,83.1 bhp,115Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Tata,Tata Tigor 1.2 Revotron XZ Option,2017,Petrol,5,1197 CC,14000,15.1 kmpl,82 bhp,114Nm@ 4000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Indica Vista TDI LX,2014,Diesel,5,2179 CC,90000,18.9 kmpl,147.9 bhp,320Nm@ 1500-3000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,Petrol,5,1047 CC,50000,14.6 kmpl,69 bhp,140Nm@ 1800-3000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016,Diesel,5,2489 CC,120000,10.75 kmpl,95 bhp,220Nm at 1400-2600 rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Mahindra,Mahindra Quanto C6,2012,Diesel,7,814 CC,10000,22.74 kmpl,55.2 bhp,74.5Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Toyota,Toyota Etios Cross 1.2L G,2015,Petrol,5,1197 CC,10000,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Mahindra,Mahindra Scorpio S7 120,2018,Diesel,7,1373 CC,25000,23.95 kmpl,91.1 bhp,130Nm@ 4000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Mahindra,Mahindra TUV 300 T8,2016,Diesel,7,1591 CC,20000,26.59 kmpl,121.3 bhp,151Nm@ 4850rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Santa Fe 4X4,2011,Diesel,7,1248 CC,60000,17.0 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Aspire Trend Diesel BSIV,2018,Diesel,5,1197 CC,40000,25.0 kmpl,81.86 bhp,113.75nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Toyota,Toyota Innova 2.5 V Diesel 8-seater,2006,Diesel,8,1248 CC,60000,18.6 kmpl,73.9 bhp,190Nm@ 2000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Honda,Honda Brio V MT,2012,Petrol,5,1197 CC,50000,13.6 kmpl,82 bhp,114Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Tata,Tata Tiago 1.2 Revotron XZ,2017,Petrol,5,1591 CC,20000,22.37 kmpl,121.3 bhp,151Nm@ 4850rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai Creta 1.6 VTVT E Plus,2016,Petrol,5,796 CC,35000,19.33 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai i10 Sportz 1.1L,2010,Petrol,5,1248 CC,40000,14.1 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,2013,Diesel,8,1497 CC,60000,18.0 kmpl,108.5 bhp,260Nm@ 1500-2750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Honda,Honda City i DTEC SV,2014,Diesel,5,1591 CC,20000,19.16 kmpl,121.4 bhp,154.9Nm@ 4200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai EON Era Plus,2014,Petrol,5,1497 CC,30000,21.79 kmpl,121.36 bhp,150Nm@ 4500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i10 Sportz,2010,Petrol,5,998 CC,29000,27.39 kmpl,67.05 bhp,90Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Baleno LXI,2005,Petrol,5,1497 CC,17000,18.2 kmpl,115 bhp,300Nm@ 1500-2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Bolt Quadrajet XE,2019,Diesel,5,998 CC,50000,12.99 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Honda,Honda City i VTEC V,2015,Petrol,5,1368 CC,42000,22.0 kmpl,98.63 bhp,132.3Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Mahindra,Mahindra XUV500 W8 2WD,2012,Diesel,7,2494 CC,120000,16.78 kmpl,102 bhp,20.4@ 1400-3400(kgm@ rpm),"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai i20 1.2 Asta Dual Tone,2018,Petrol,5,1461 CC,110000,22.0 kmpl,65 bhp,160Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Figo Aspire 1.2 Ti-VCT Sports Edition,2017,Petrol,5,1396 CC,90000,24.0 kmpl,70 bhp,140Nm@ 1800-3000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Verna 1.6 SX,2012,Diesel,5,1197 CC,70000,16.78 kmpl,88.50 bhp,113nm@ 4400rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Ford,Ford Ikon 1.6 Nxt,2009,Petrol,5,1598 CC,66000,16.78 kmpl,105 bhp,250Nm@ 1500-2500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Tata,Tata Nano LX,2015,Petrol,4,1493 CC,70000,19.0 kmpl,110 bhp,24 KGM at 1900-2750 RPM,"Comapany Name:Go Digit,Policy Plan:4000"
Honda,Honda City 2017-2020 GXi,2006,Petrol,5,1591 CC,5000,14.3 kmpl,121.3 bhp,151NM@ 4850rpm,"Comapany Name:Universal Sompo,Policy Plan:5670"
Maruti,Maruti 800 DX,1997,Petrol,4,1461 CC,50000,16.8 kmpl,65 bhp,160Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Verna 1.6 Xi ABS,2006,Petrol,5,1598 CC,25000,17.92 kmpl,103.2 bhp,153Nm@ 3750-3800rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Creta 1.6 CRDi SX,2015,Diesel,5,1248 CC,70000,23.03 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Tiago 1.2 Revotron XM,2018,Petrol,5,796 CC,40000,23.1 kmpl,37 bhp,59Nm@ 2500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Ford,Ford Fiesta Diesel Style,2012,Diesel,5,2179 CC,110000,22.0 kmpl,140 bhp,330Nm@ 1600-2800rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Tiago 1.2 Revotron XM,2018,Petrol,5,2179 CC,150000,17.0 kmpl,138 bhp,320Nm@ 1700-2700rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Alto 800 VXI,2013,Petrol,5,1405 CC,45000,25.17 kmpl,70 bhp,135.4Nm@ 2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Ertiga SHVS VDI,2016,Diesel,7,1405 CC,90000,18.9 kmpl,70 bhp,"13.5@ 2,500(kgm@ rpm)","Comapany Name:Go Digit,Policy Plan:4000"
Mahindra,Mahindra Scorpio S2 9 Seater,2015,Diesel,9,2179 CC,140000,15.5 kmpl,138.1 bhp,320Nm@ 1700-2700rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Mahindra,Mahindra Scorpio LX,2013,Diesel,9,1299 CC,83000,12.55 kmpl,70 bhp,"10.7@ 2,500(kgm@ rpm)","Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Fusion Plus 1.4 TDCi Diesel,2008,Diesel,5,1968 CC,106000,24.4 kmpl,138.1 bhp,320Nm@ 1750-2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Aria Pure LX 4x2,2014,Diesel,7,1150 CC,60000,17.8 kmpl,74.9 bhp,110Nm@ 4400rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift VXI,2019,Petrol,5,796 CC,40000,15.4 kmpl,34.2 bhp,59Nm@ 2500rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai i10 Sportz,2011,Petrol,5,1197 CC,138000,15.4 kmpl,80 bhp,"11.4 kgm at 4,000 rpm","Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai Grand i10 Sportz,2016,Petrol,5,796 CC,80000,21.5 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i10 Magna,2009,Petrol,5,1341 CC,50000,13.6 kmpl,83 bhp,115Nm@ 3200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i20 Magna,2010,Petrol,5,1199 CC,50000,22.37 kmpl,82.4 bhp,108.5Nm@ 5000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift Dzire ZDI,2016,Diesel,5,1197 CC,120000,19.33 kmpl,85.80 bhp,114Nm@ 4000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Nexon 1.2 Revotron XZA Plus,2020,Petrol,5,1197 CC,24400,14.1 kmpl,81.80 bhp,113Nm@ 4200rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Mahindra,Mahindra Bolero 2011-2019 ZLX,2013,Diesel,7,2523 CC,60000,18.0 kmpl,62.1 bhp,195Nm@ 1400-2200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Hyundai,Hyundai i10 Sportz,2014,Petrol,5,1197 CC,120000,19.16 kmpl,85.80 bhp,114Nm@ 4000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Alto 800 LX,2014,Petrol,5,1396 CC,60000,21.79 kmpl,88.7 bhp,219.7Nm@ 1750-2750rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Wagon R LXI Minor,2010,Petrol,5,796 CC,100000,27.39 kmpl,46.3 bhp,62Nm@ 3000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai Santro Xing XS eRLX Euro III,2005,Petrol,,,60000,18.2 kmpl,,,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Wagon R LXI Minor,2009,Petrol,5,796 CC,120000,12.99 kmpl,37 bhp,59Nm@ 2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Safari Storme VX Varicor 400,2019,Diesel,7,799 CC,27500,22.0 kmpl,53.3 bhp,72Nm@ 4386rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Ertiga VDI,2015,Diesel,7,796 CC,10000,16.78 kmpl,37 bhp,59Nm@ 2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Nano Lx BSIV,2010,Petrol,4,1197 CC,120000,22.0 kmpl,80 bhp,"11.4 kgm at 4,000 rpm","Comapany Name:Magma HDI,Policy Plan:3600"
Maruti,Maruti Omni E 8 Str STD,2016,Petrol,8,,70000,24.0 kmpl,,,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Omni E 8 Str STD,2016,Petrol,8,1396 CC,80000,16.78 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Indica V2 eXeta GLS,2006,Petrol,5,1193 CC,120000,16.78 kmpl,64.1 bhp,100Nm@ 2700rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti 800 Std BSIII,2004,Petrol,4,1120 CC,90000,19.0 kmpl,71.01 bhp,180.4Nm@ 1750-2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti 800 AC,2002,Petrol,4,1399 CC,70000,14.3 kmpl,68.1 bhp,160Nm@ 2000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Alto LXi BSIII,2007,Petrol,5,1461 CC,188000,16.8 kmpl,108.45 bhp,248Nm@ 2250rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Hyundai,Hyundai Santro Xing XG,2005,Petrol,,995 CC,67840,,62 bhp,90.3Nm@ 4200rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Mahindra,Mahindra Ssangyong Rexton RX7,2013,Diesel,7,624 CC,30000,24.5 kmpl,37.48 bhp,51Nm@ 4000+/-500rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Wagon R LXI BS IV,2010,Petrol,5,796 CC,35000,14.0 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Omni E 8 Str STD,2005,Petrol,,,150000,11.79 kmpl,,,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Omni 8 Seater BSIV,2008,Petrol,5,1248 CC,100000,13.0 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Omni LPG STD BSIV,2008,LPG,,998 CC,30000,17.19 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Mahindra,Mahindra XUV500 AT W6 2WD,2016,Diesel,7,1197 CC,70000,21.38 kmpl,82 bhp,114Nm@ 4000rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Ertiga SHVS VDI,2016,Diesel,7,,149032,23.4 kmpl,,,"Comapany Name:Go Digit,Policy Plan:4000"
Renault,Renault KWID 1.0 RXT Optional,2017,Petrol,5,2523 CC,380000,15.37 kmpl,63 bhp,180 Nm at 1440-1500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Classic 1.6 Duratec Titanium,2014,Petrol,5,,84050,22.74 kmpl,,,"Comapany Name:Go Digit,Policy Plan:4000"
